2025-04-23 12:20:52.232 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-04-23 12:20:52.232 [info] Added views:outline in workbench.view.explorer
2025-04-23 12:20:52.232 [info] Added views:workbench.view.search in workbench.view.search
2025-04-23 12:20:52.232 [info] Added views:workbench.scm in workbench.view.scm
2025-04-23 12:20:52.232 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-04-23 12:20:52.232 [info] Added views:workbench.panel.output in workbench.panel.output
2025-04-23 12:20:52.232 [info] Added views:terminal in terminal
2025-04-23 12:20:52.232 [info] Added views:timeline in workbench.view.explorer
2025-04-23 12:20:52.232 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2025-04-23 12:20:53.209 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-23 12:20:54.935 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-04-23 12:20:55.319 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-04-23 12:21:20.410 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-04-23 12:21:20.416 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2025-04-23 20:07:07.154 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-23 20:07:07.173 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-23 20:07:59.562 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-04-23 20:16:22.396 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2025-04-23 20:16:24.775 [info] Removed views:workbench.debug.breakPointsView from workbench.view.debug
2025-04-23 20:16:27.335 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2025-04-23 20:16:44.451 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-23 20:16:44.557 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-23 20:18:14.722 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-23 20:18:14.746 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-23 20:18:14.755 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-23 20:18:14.791 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-23 20:18:49.041 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-23 20:18:49.072 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-23 20:18:49.082 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-23 20:18:49.111 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-23 20:20:02.741 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-23 20:20:02.763 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-23 20:20:02.771 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-23 20:20:02.798 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-23 20:20:14.482 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-04-23 20:20:14.506 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-23 20:20:14.515 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-04-23 20:20:14.538 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-04-23 20:20:17.291 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
